Identifier,Category,Name,Synonym,CAS,Ⲗabs.max (nm),τf (ns),φF,Solvent,φISC,E(0.0; S1),E(0.0; T1),Ered,Eox,Ered. S1,Eox. S1,Ered. T1,Eox. T1,Molecular Weight,Chemical Formula,SMILES,H-Bond Donor Count,H-Bond Acceptor Count,Solubility,Melting Point,Boiling Point,pKa
H10,Coumarins,Coumarin 151,7-Amino-4-(Trifluoromethyl)Coumarin,53518-15-3,384.0,,0.53,Ethanol,,,,,,,,,,229.15,C10H6F3NO2,C1=CC2=C(C=C1N)OC(=O)C=C2C(F)(F)F,1,6,,,,
H11,Coumarins,Coumarin 314,,55804-66-5,436.0,,0.68,Ethanol,,,,,,,,,,313.3,C18H19NO4,CCOC(=O)C1=CC2=CC3=C4C(=C2OC1=O)CCCN4CCC3,0,5,,,,
H12,Coumarins,Coumarin 343,,55804-65-4,444.75,,0.63,Ethanol,,,,,,,,,,285.29,C16H15NO4,C1CC2=C3C(=C4C(=C2)C=C(C(=O)O4)C(=O)O)CCCN3C1,1,5,,,,
H13,Coumarins,Calcein blue,4-Methylumbelliferone-8-Methyliminodiacetic Acid,54375-47-2,361.0,,0.59,Pbs,,,,,,,,,,321.28,C15H15NO7,CC1=CC(=O)OC2=C1C=CC(=C2CN(CC(=O)O)CC(=O)O)O,3,8,,,,
H14,Coumarins,Urolithin b,3-Hydroxy-6H-Benzo[C]Chromen-6-One,1139-83-9,278.0,,0.21,Dimethylformamide,,,,,,,,,,212.20,C13H8O3,C1=CC=C2C(=C1)C3=C(C=C(C=C3)O)OC2=O,1,3,,,,
I01,Acridines,Acridine,,260-94-6,247.0,,0.0079,Ethanol,,,,,,,,,,179.22,C13H9N,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,0,1,,,,
I02,Acridines,Proflavine hydrochloride,3.6-Diaminoacridine Hydrochloride,952-23-8,470.0,5.0,0.39,,0.39,2.56,2.22,-0.74,,1.82,,1.48,,245.71,C13H12ClN3,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,3,3,,,,
I03,Acridines,Acridine orange,Basic Orange 14,65-61-2,425.0,,,,,,2.58,-2.4,,,,0.6,,301.8,C17H20ClN3,CN(C)C1=CC2=C(C=C1)C=C3C=CC(=CC3=N2)N(C)C.Cl,1,3,,,,
I04,Acridines,Acridine yellow g,3.6-Diamino-2.7-Dimethylacridine,135-49-9,264.0,,0.47,Ethanol,,,,,,,,,,273.76,C15H16ClN3,CC1=CC2=CC3=C(C=C(C(=C3)C)N)N=C2C=C1N.Cl,3,3,,,,
I05,Acridines,Acridone,9(10H)-Acridanone. 9.10-Dihydro-9-Oxoacridine,578-95-0,249.0,,0.42,Ethanol,,,,,,,,,,195.22,C13H9NO,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,1,2,,,,
I06,Acridines,Phenazine,,92-82-0,248.0,,,Ethanol,,,,,,,,,,180.20,C12H8N2,C1=CC=C2C(=C1)N=C3C=CC=CC3=N2,0,2,,,,
I07,Acridines,Phenosafranin,,81-93-6,533.0,,0.2,Methanol,,,,,,,,,,322.8,C18H15ClN4,C1=CC=C(C=C1)[N+]2=C3C=C(C=CC3=NC4=C2C=C(C=C4)N)N.[Cl-],2,4,,,,
I08,Acridines,Neutral red,Basic Red 5,553-24-2,278.0,,0.044,Ethanol,,,,,,,,,,288.77,C15H17ClN4,CC1=CC2=NC3=C(C=C(C=C3)N(C)C)N=C2C=C1N.Cl,2,4,,,,
I09,Acridines,Janus green b,,2869-83-2,587.0,,,Pbs,,,,,,,,,,511.1,C30H31ClN6,CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N=NC4=CC=C(C=C4)N(C)C)N=C2C=C1)C5=CC=CC=C5.[Cl-],0,6,,,,
I10,Acridines,Phenothiazine,10H-Phenothiazine,92-84-2,253.0,,0.006,Cyclohexane,,,,,,,,,,199.27,C12H9NS,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,1,2,,,,
I11,Acridines,Thionin,Thionine. 3.7-Diaminophenothiazin-5-Ium Chloride,26754-93-8,605.0,,0.04,Ethanol,,,,,,,,,,228.30,C12H10N3S+,C1=CC2=C(C=C1N)SC3=CC(=[NH2+])C=CC3=N2,2,3,,,,
I12,Acridines,Methylene blue,Basic Blue 9 Hydrate,61-73-4,650.0,1.0,,,,1.89,1.5,-0.3,1.13,1.56,-0.73,1.6,-0.68,319.9,C16H18ClN3S,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],0,4,,,,
I13,Acridines,Azure ii,,37247-10-2,654.0,,0.04,Ethanol,,,,,,,,,,625.7,C31H34Cl2N6S2,CNC1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-].[Cl-],1,8,,,,
I14,Acridines,Toluidine blue o,Basic Blue 17,92-31-9,628.0,,0.076,Ethanol,,,,,,,,,,305.8,C15H16ClN3S,CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2.[Cl-],1,4,,,,
I15,Acridines,Phenoxathiin,,262-20-4,237.0,,,Ethanol,,,,,,,,,,200.26,C12H8OS,C1=CC=C2C(=C1)OC3=CC=CC=C3S2,0,2,,,,
I16,Acridines,Phenoxazine,,135-67-1,239.0,,0.025,Ethanol,,,,,,,,,,183.21,C12H9NO,C1=CC=C2C(=C1)NC3=CC=CC=C3O2,1,2,,,,
I17,Acridines,Oxazine 1,Oxazine 725. Oxazine 1 Perchlorate,24796-94-9,642.5,,0.11,Ethanol,,,,,,,,,,423.9,C20H26ClN3O5,CCN(CC)C1=CC2=C(C=C1)N=C3C=CC(=[N+](CC)CC)C=C3O2.[O-]Cl(=O)(=O)=O,0,7,,,,
I18,Acridines,Cresyl violet perchlorate,Cresyl Violet 670,41830-80-2,603.0,,0.54,Methanol,,,,,,,,,,361.73,C16H12ClN3O5,C1=CC=C2C(=C1)C(=[NH2+])C=C3C2=NC4=C(O3)C=C(C=C4)N.[O-]Cl(=O)(=O)=O,2,7,,,,
I19,Acridines,Nile red,Nile Blue A Oxazone. Oxazine 17,7385-67-3,519.4,,0.7,Dioxane,,,,,,,,,,318.4,C20H18N2O2,CCN(CC)C1=CC2=C(C=C1)N=C3C4=CC=CC=C4C(=O)C=C3O2,0,4,,,,
I20,Acridines,Nile blue,Nile Blue A Perchlorate,53340-16-2,627.5,,0.27,Ethanol,,,,,,,,,,417.8,C20H20ClN3O5,CC[N+](=C1C=CC2=NC3=C(C=C(C4=CC=CC=C43)N)OC2=C1)CC.[O-]Cl(=O)(=O)=O,1,7,,,,
I21,Acridines,Oxazine 170,Oxazine 720. Oxazine 170 Perchlorate,62669-60-7,613.25,,0.63,Methanol,,,,,,,,,,431.9,C21H22ClN3O5,CCNC1=CC2=C(C3=CC=CC=C31)N=C4C=C(C(=[NH+]CC)C=C4O2)C.[O-]Cl(=O)(=O)=O,2,7,,,,
J01,Azo Dyes,Azobenzene,,103-33-3,319.0,,,Benzene,,,,,,,,,,182.22,C12H10N2,C1=CC=C(C=C1)N=NC2=CC=CC=C2,0,2,,,,
J02,Azo Dyes,Acid red 2,Methyl Red. 4-Dimethylaminoazobenzene-2'-Carboxylic Acid,493-52-7,430.0,,,Pbs,,,,,,,,,,269.30,C15H15N3O2,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,1,5,,,,
J03,Azo Dyes,Methyl orange,Acid Orange 52,547-58-0,466.0,,,Pbs,,,,,,,,,,327.34,C14H14N3NaO3S,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],0,6,,,,
J04,Azo Dyes,Orange g,Acid Orange 10,1936-15-8,478.0,,,Pbs,,,,,,,,,,452.4,C16H10N2Na2O7S2,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],1,9,,,,
J05,Azo Dyes,Orange ii,Acid Orange 7,633-96-5,486.0,,,Pbs,,,,,,,,,,350.3,C16H11N2NaO4S,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+],1,6,,,,
J06,Azo Dyes,Acid red 88,Acid Red A. Fast Red. 2-Naphthol Red,1658-56-6,503.0,,,Pbs,,,,,,,,,,400.4,C20H13N2NaO4S,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C4=CC=CC=C43)S(=O)(=O)[O-])O.[Na+],1,6,,,,
J07,Azo Dyes,Sudan i,1-Phenylazo-2-Naphthol,842-07-9,481.0,,,Ethanol,,,,,,,,,,248.28,C16H12N2O,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,1,3,,,,
J08,Azo Dyes,Sudan ii,Solvent Orange 7. 1-(2.4-Xylidylazo)-2-Naphthol,3118-97-6,498.0,,,Ethanol,,,,,,,,,,276.3,C18H16N2O,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C,1,3,,,,
J09,Azo Dyes,Acid violet 3,,1681-60-3,555.0,,,Pbs,,,,,,,,,,483.4,C16H11N3Na2O8S2,C1=CC(=CC=C1N)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])O)O.[Na+].[Na+],3,11,,,,
J10,Azo Dyes,Acid red 1,Azophloxine,3734-67-6,530.0,,,Pbs,,,,,,,,,,509.4,C18H13N3Na2O8S2,CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+],2,10,,,,
J11,Azo Dyes,Acid red 14,Azo Rubine. Carmoisine,3567-69-9,512.0,,,Pbs,,,,,,,,,,502.4,C20H12N2Na2O7S2,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],1,9,,,,
J12,Azo Dyes,Acid blue 92,Acid Blue A,3861-73-2,563.0,,,Pbs,,,,,,,,,,695.6,C26H16N3Na3O10S3,C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=C5C(=CC(=C4)S(=O)(=O)[O-])C=C(C=C5O)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+].[Na+],2,13,,,,
J13,Azo Dyes,Sudan iii,Solvent Red 23,85-86-9,504.0,,,Ethanol,,,,,,,,,,352.4,C22H16N4O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O,1,5,,,,
J14,Azo Dyes,Sudan iv,Solvent Red 24,85-83-6,518.0,,,Ethanol,,,,,,,,,,380.4,C24H20N4O,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O)C,1,5,,,,
J15,Azo Dyes,Acid black 1,Naphthol Blue Black,1064-48-8,619.0,,,Pbs,,,,,,,,,,616.5,C22H14N6Na2O9S2,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],2,14,,,,
J16,Azo Dyes,Ponceau s,Acid Red 112,6226-79-5,513.0,,,Pbs,,,,,,,,,,760.6,C22H12N4Na4O13S4,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],1,17,,,,
J17,Azo Dyes,Congo red,Direct Red 28,573-58-0,483.0,,,Pbs,,,,,,,,,,696.7,C32H22N6Na2O6S2,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],2,12,,,,
J18,Azo Dyes,Benzopurpurin 4b,Direct Red 2. Benzopurpurin,992-59-6,497.0,,,Water,,,,,,,,,,724.7,C34H26N6Na2O6S2,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])N)C)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N.[Na+].[Na+],2,12,,,,
J19,Azo Dyes,Evans blue,Direct Blue 53,314-13-6,606.0,,,Pbs,,,,,,,,,,960.8,C34H24N6Na4O14S4,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+].[Na+].[Na+],4,20,,,,
K01,Cyanine Dyes,1.1'-diethyl-2.2'-cyanine iodide,Dec,977-96-8,524.25,,,Ethanol,,,,,,,,,,454.3,C23H23IN2,CCN1C(=CC2=[N+](C3=CC=CC=C3C=C2)CC)C=CC4=CC=CC=C41.[I-],0,2,,,,
K02,Cyanine Dyes,1.1'-diethyl-2.2'-carbocyanine iodide,Pinacyanol Iodide. Decc,605-91-4,603.5,,0.001,Methanol,,,,,,,,,,480.4,C25H25IN2,CCN1C(=CC=CC2=[N+](C3=CC=CC=C3C=C2)CC)C=CC4=CC=CC=C41.[I-],0,2,,,,
K03,Cyanine Dyes,1.1'-diethyl-2.2'-dicarbocyanine iodide,Ddi,14187-31-6,711.0,,0.0028,Ethanol,,,,,,,,,,506.4,C27H27IN2,CCN1C(=CC=CC=CC2=[N+](C3=CC=CC=C3C=C2)CC)C=CC4=CC=CC=C41.[I-],0,2,,,,
K04,Cyanine Dyes,1.1'-diethyl-4.4'-cyanine iodide,,4727-49-5,592.0,,,Ethanol,,,,,,,,,,454.3,C23H23IN2,CCN1C=CC(=CC2=CC=[N+](C3=CC=CC=C23)CC)C4=CC=CC=C41.[I-],0,2,,,,
K05,Cyanine Dyes,1.1'-diethyl-4.4'-carbocyanine iodide,Dci. Cryptocyanine. Kryptocyanin,4727-50-8,709.5,,0.007,Ethanol,,,,,,,,,,480.4,C25H25IN2,CCN1C=CC(=CC=CC2=CC=[N+](C3=CC=CC=C23)CC)C4=CC=CC=C41.[I-],0,2,,,,
K06,Cyanine Dyes,1.1'-diethyl-4.4'-dicarbocyanine iodide,,18300-31-7,818.0,,0.033,Dmso,,,,,,,,,,506.4,C27H27IN2,CCN1C=CC(=CC=CC=CC2=CC=[N+](C3=CC=CC=C23)CC)C4=CC=CC=C41.[I-],0,2,,,,
K07,Cyanine Dyes,3.3'-diethyloxacarbocyanine iodide,Doc. Doci,905-96-4,485.0,,0.05,Methanol,,,,,,,,,,460.3,C21H21IN2O2,CCN1C2=CC=CC=C2OC1=CC=CC3=[N+](C4=CC=CC=C4O3)CC.[I-],0,4,,,,
K08,Cyanine Dyes,3.3'-diethyloxadicarbocyanine iodide,Dodc. Dodci,14806-50-9,582.0,,0.49,Ethanol,,,,,,,,,,486.3,C23H23IN2O2,CCN1C2=CC=CC=C2OC1=CC=CC=CC3=[N+](C4=CC=CC=C4O3)CC.[I-],0,4,,,,
K09,Cyanine Dyes,3.3'-diethyloxatricarbocyanine iodide,Dotc. Dotci,15185-43-0,687.5,,0.49,Ethanol,,,,,,,,,,512.4,C25H25IN2O2,CCN1C2=CC=CC=C2OC1=CC=CC=CC=CC3=[N+](C4=CC=CC=C4O3)CC.[I-],0,4,,,,
K10,Cyanine Dyes,1.1'-diethyl-3.3.3'.3'-tetramethylindocarbocyanine iodide,,14696-39-0,544.25,,0.07,Methanol,,,,,,,,,,512.5,C27H33IN2,CCN1C2=CC=CC=C2C(C1=CC=CC3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[I-],0,2,,,,
K11,Cyanine Dyes,1.1'-diethyl-3.3.3'.3'-tetramethylindodicarbocyanine iodide,,17094-16-5,637.5,,0.4,Methanol,,,,,,,,,,538.5,C29H35IN2,CCN1C2=CC=CC=C2C(C1=CC=CC=CC3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[I-],0,2,,,,
K12,Cyanine Dyes,1.1'-diethyl-3.3.3'.3'-tetramethylindotricarbocyanine iodide,Hitci,15185-47-4,742.25,,0.28,Ethanol,,,,,,,,,,,,,,,,,,
K13,Cyanine Dyes,Indocyanine green,Icg. Cardiogreen,3599-32-4,789.0,,0.05,Ethanol,,,,,,,,,,775.0,C43H47N2NaO6S2,CC1(C(=[N+](C2=C1C3=CC=CC=C3C=C2)CCCCS(=O)(=O)[O-])C=CC=CC=CC=C4C(C5=C(N4CCCCS(=O)(=O)[O-])C=CC6=CC=CC=C65)(C)C)C.[Na+],0,7,,,,
K14,Cyanine Dyes,3.3'-diethylthiacarbocyanine iodide,Dtc. Dtci,905-97-5,559.25,,0.05,Ethanol,,,,,,,,,,492.4,C21H21IN2S2,CCN1C2=CC=CC=C2SC1=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-],0,4,,,,
K15,Cyanine Dyes,3.3'-diethylthiadicarbocyanine iodide,Dtdc. Dtdci,514-73-8,655.75,,0.35,Ethanol,,,,,,,,,,518.5,C23H23IN2S2,CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-],0,4,,,,
K16,Cyanine Dyes,3.3'-diethylthiatricarbocyanine iodide,Dttc. Dttci,3071-70-3,763.25,,,Isopropanol,,,,,,,,,,544.5,C25H25IN2S2,CCN1C2=CC=CC=C2SC1=CC=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-],0,4,,,,
K17,Cyanine Dyes,Merocyanine 540,,62796-23-0,559.5,,0.39,Ethanol,,,,,,,,,,569.7,C26H32N3NaO6S2,CCCCN1C(=O)C(=CC=CC=C2N(C3=CC=CC=C3O2)CCCS(=O)(=O)[O-])C(=O)N(C1=S)CCCC.[Na+],0,8,,,,
K18,Cyanine Dyes,4-(dicyanomethylene)-2-methyl-6-(p-dimethylaminostyryl)-4h-pyran. [dcm],Dcm,51325-91-8,468.0,,0.43,Methanol,,,,,,,,,,303.4,C19H17N3O,CC1=CC(=C(C#N)C#N)C=C(O1)C=CC2=CC=C(C=C2)N(C)C,0,4,,,,
K19,Cyanine Dyes,Stains all,3.3_-Diethyl-9-Methyl-4.5.4_.5_-Dibenzothiacarbocyanine,7423-31-6,575.5,,0.0,,,,,,,,,,,559.6,C30H27BrN2S2,CCN1C(=CC(=CC2=[N+](C3=C(S2)C=CC4=CC=CC=C43)CC)C)SC5=C1C6=CC=CC=C6C=C5.[Br-],0,4,,,,
L01,Arylmethane Dyes,Auramine o,Basic Yellow 2. Pyoctaninum Aureum,2465-27-2,431.25,,0.03,Glycerol,,,,,,,,,,303.8,C17H22ClN3,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,2,3,,,,
L02,Arylmethane Dyes,Malachite green,Basic Green 4,2437-29-8,616.5,,,Water,,,,,,,,,,927.0,C52H54N4O12,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,4,14,,,,
L03,Arylmethane Dyes,Crystal violet,Basic Violet 3,548-62-9,590.5,,0.019,Glycerol,,,,,,,,,,408.0,C25H30ClN3,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],0,3,,,,
L04,Arylmethane Dyes,P-fuchsin,Basic Fuchsin,632-99-5,543.0,,,Pbs,,,,,,,,,,337.8,C20H20ClN3,CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.Cl,4,3,,,,
L05,Arylmethane Dyes,Methyl violet,Basic Violet 1,8004-87-3,585.0,,,Pbs,,,,,,,,,,358.5,C24H28N3+,CNC1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C,1,2,,,,
L06,Arylmethane Dyes,Methyl green,,82-94-0,632.0,,,Pbs,,,,,,,,,,458.5,C26H33Cl2N3,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)[N+](C)(C)C.[Cl-].[Cl-],0,3,,,,
L07,Arylmethane Dyes,Methyl blue,Acid Blue 93,28983-56-4,590.0,,,Pbs,,,,,,,,,,799.8,C37H27N3Na2O9S3,C1=CC(=NC2=CC=C(C=C2)S(=O)(=O)[O-])C=CC1=C(C3=CC=C(C=C3)NC4=CC=C(C=C4)S(=O)(=O)O)C5=CC=C(C=C5)NC6=CC=C(C=C6)S(=O)(=O)[O-].[Na+].[Na+],3,12,,,,
L08,Arylmethane Dyes,Phenolphthalein,,77-09-8,554.0,,,0.1 n naoh aq,,,,,,,,,,318.3,C20H14O4,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,2,4,,,,
L09,Arylmethane Dyes,Phenol red,Phenolsulfonphthalein,143-74-8,558.0,,,0.1 n naoh aq,,,,,,,,,,354.4,C19H14O5S,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,2,5,,,,
L10,Arylmethane Dyes,Cresol red,,1733-12-6,573.0,,,0.1 n naoh aq,,,,,,,,,,382.4,C21H18O5S,CC1=C(C=CC(=C1)C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4)O)C)O,2,5,,,,
L11,Arylmethane Dyes,Thymol blue,,76-61-9,597.0,,,0.1 n naoh aq,,,,,,,,,,466.6,C27H30O5S,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,2,5,,,,
M01,Perylenes,Perylene,,198-55-0,435.75,,0.94,Cyclohexane,,,,,,,,,,252.3,C20H12,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,0,0,,,,
M02,Perylenes,Perylene. pmi,N-(2.6-Diisopropylphenyl)Perylene-3.4-Dicarboximide,165550-61-8,507.0,,0.91,Toluene,,,,,,,,,,481.6,C34H27NO2,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=CC=CC7=C6C5=CC=C7)C2=O,0,2,,,,
M03,Perylenes,Perylene. pmi(or),9-(4-Tert-Butylphenoxy)-N-(2.6-Diisopropylphenyll)-3.4-Perylenedicarboximide,RRN 9309914,507.0,,0.82,Toluene,,,,,,,,,,,,,,,,,,
M04,Perylenes,Perylene. pmi(or)3,1.6.9-Tris(4-Tert-Butylphenoxy)-N-(2.6-Diisopropyl-4-Ethynylphenyl)-3.4-Perylenedicarboximide,468083-01-4,536.0,,0.86,Toluene,,,,,,,,,,,,,,,,,,
M05,Perylenes,Perylene. pdi,N.N_-Bis(2.5-Di-Tert-Butylphenyl)-3.4.9.10-Perylenedicarboximide,83054-80-2,528.0,,0.97,Toluene,,,,,,,,,,767.0,C52H50N2O4,CC(C)(C)C1=CC(=C(C=C1)C(C)(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=CC(=C9)C(C)(C)C)C(C)(C)C)C2=O,0,4,,,,
N01,Xanthenes,Fluorescein,,05/07/2321,437.0,4.2,0.2,,0.03,2.42,1.94,-1.17,0.887,1.25,-1.55,0.77,-1.07,,,,,,,,,
N02,Xanthenes,2'.7'-dichlorofluorescein,,76-54-0,502.0,,0.58,30% tris buffered (in dmso),,,,,,,,,,401.2,C20H10Cl2O5,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C=C4OC5=CC(=C(C=C35)Cl)O)O)Cl,2,5,,,,
N03,Xanthenes,3.4.5.6-tetrachlorofluorescein,,6262-21-1,509.0,,0.65,Pbs,,,,,,,,,,470.1,C20H8Cl4O5,C1=CC2=C(C=C1O)OC3=C(C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)C=CC(=C3)O,2,5,,,,
N04,Xanthenes,Eosin b,Acid Red 91. Saffrosine. Safrosin,548-24-3,527.0,,0.63,Ethanol,,,,,,,,,,624.1,C20H6Br2N2Na2O9,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)[N+](=O)[O-])[O-])Br)Br)[N+](=O)[O-])C(=O)[O-].[Na+].[Na+],0,9,,,,
N05,Xanthenes,Eosin y,Acid Red 87,17372-87-1,520.0,2.1,0.48,,0.32,2.31,1.91,-1.08,0.76,1.23,-1.58,0.83,-1.15,,,,,,,,,
N06,Xanthenes,Phloxine b,Acid Red 92,18472-87-2,550.0,,0.67,Ethanol,,,,,,,,,,,,,,,,,,
N07,Xanthenes,Erythrosine b,,16423-68-0,535.0,,0.08,Ethanol,,,,,,,,,,879.9,C20H6I4Na2O5,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)[O-])I)I)[O-])I.[Na+].[Na+],0,5,,,,
N08,Xanthenes,Rose bengal,Acid Red 94. 4.5.6.7-Tetrachloro-2'.4'.5'.7'-Tetraiodofluorescein,11121-48-5,549.0,0.5,0.09,,0.77,2.14,1.8,-0.99,0.84,1.18,-1.33,0.81,-0.96,1017.6,C20H2Cl4I4Na2O5,C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1I)[O-])I)I)I)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-].[Na+].[Na+],0,5,,,,
N09,Xanthenes,Xantphos,4.5-Bis(Diphenylphosphino)-9.9-Dimethylxanthene,161265-03-8,261.0,,0.16,Dichloromethane,,,,,,,,,,578.6,C39H32OP2,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0,1,,,,
N10,Xanthenes,Rhodamine 123,,62669-70-9,511.75,,0.86,Ethanol,,,,,,,,,,380.8,C21H17ClN2O3,COC(=O)C1=CC=CC=C1C2=C3C=CC(=N)C=C3OC4=C2C=CC(=C4)N.Cl,3,5,,,,
N11,Xanthenes,Rhodamine b,,81-88-9,550.0,2.45,0.58,,0.12,2.22,1.8,-0.96,0.91,1.26,-1.31,0.84,-0.89,479.0,C28H31ClN2O3,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],1,5,,,,
N12,Xanthenes,Sulforhodamine b,Acid Red 52,3520-42-1,553.0,,0.7,Ethanol,,,,,,,,,,580.7,C27H29N2NaO7S2,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],0,8,,,,
N13,Xanthenes,Rhodamine 6g,,989-38-8,530.0,4.13,0.9,,0.002,2.32,2.09,-1.14,1.23,1.18,-1.09,0.95,-0.86,479.0,C28H31ClN2O3,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],2,5,,,,
